HEADSET;443634;;;1;22/08/2023;;;
HEADSET;332522;;;1;22/08/2023;;;
DISCADOR;776965;;;1;22/08/2023;;;
DISCADOR;998187;;;1;22/08/2023;;;
DISCADOR;443647;;;1;22/08/2023;;;
DISCADOR;110301;;;1;22/08/2023;;;
HEADSET;665855;;;1;22/08/2023;;;
HEADSET;554743;;;1;15/09/2023;;;
HEADSET;887075;;;2;15/09/2023;28/12/2023;;
HEADSET;110308;;;1;15/09/2023;;;
DISCADOR;887077;;;1;15/09/2023;;;
DISCADOR;110309;;;1;15/09/2023;;;
DISCADOR;554757;;;1;15/09/2023;;;
HEADSET;364648;;;1;05/10/2023;;;
HEADSET;554740;;;1;05/10/2023;;;
HEADSET;887072;;;1;05/10/2023;;;
HEADSET;554745;;;1;05/10/2023;;;
HEADSET;665859;;;1;05/10/2023;;;
HEADSET;887078;;;1;05/10/2023;;;
HEADSET;110314;;;1;13/11/2023;;;
HEADSET;221416;;;1;13/11/2023;;;
DISCADOR;554742;;;1;13/11/2023;;;
DISCADOR;776962;;;1;13/11/2023;;;
HEADSET;887081;;;1;13/11/2023;;;
HEADSET;665850;;;1;28/12/2023;;;
HEADSET;998188;;;1;28/12/2023;;;
HEADSET;998183;;;1;28/12/2023;;;
DISCADOR;776970;;;1;14/03/2024;;;
DISCADOR;887074;;;1;14/03/2024;;;
DISCADOR;554758;;;1;14/03/2024;;;
HEADSET;665868;;;1;14/03/2024;;;
HEADSET;998191;;;1;14/03/2024;;;
HEADSET;665852;;;1;14/03/2024;;;
HEADSET;665851;;;1;14/03/2024;;;
HEADSET;41;Com Garantia ;Ainda tem 90 dias;1;20/03/2024;;;
